runID,model,runs,Kx,algo,epochs,refinement_epochs,levels,latent_dim,num_layers,num_designs,opt_cr,opt_des,run_time_s,run_time_f
0,ScalarOnScalarModel,5,[4],CordexDiscrete,1000,100,[-1.  1.],,,,"[[ 1. -1. -1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1.  1.  1.]]",1.111111111111111,1.9395670890808105,0 days 00:00:01.939567
1,ScalarOnScalarModel,5,[4],CordexDiscrete,1000,100,[-1.  0.  1.],,,,"[[-1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1.  1.]
 [-1.  1.  1.  1.]]",1.111111111111111,2.288264751434326,0 days 00:00:02.288265
2,ScalarOnScalarModel,5,[4],CordexDiscrete,1000,100,[-1.  -0.5  0.   0.5  1. ],,,,"[[-1. -1. -1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1.  1.]]",1.111111111111111,3.8811631202697754,0 days 00:00:03.881163
3,ScalarOnScalarModel,15,[4],CordexDiscrete,1000,100,[-1.  1.],,,,"[[ 1. -1.  1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1.  1.]]",0.3409090909090909,5.812875986099243,0 days 00:00:05.812876
4,ScalarOnScalarModel,15,[4],CordexDiscrete,1000,100,[-1.  0.  1.],,,,"[[-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]]",0.3409090909090909,7.1621880531311035,0 days 00:00:07.162188
5,ScalarOnScalarModel,15,[4],CordexDiscrete,1000,100,[-1.  -0.5  0.   0.5  1. ],,,,"[[ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]]",0.3409090909090909,11.800477027893066,0 days 00:00:11.800477
6,ScalarOnScalarModel,30,[4],CordexDiscrete,1000,100,[-1.  1.],,,,"[[ 1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]
 [ 1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1. -1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1.  1.]]",0.16780462184873948,12.602643013000488,0 days 00:00:12.602643
7,ScalarOnScalarModel,30,[4],CordexDiscrete,1000,100,[-1.  0.  1.],,,,"[[-1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]]",0.16780462184873948,17.77447199821472,0 days 00:00:17.774472
8,ScalarOnScalarModel,30,[4],CordexDiscrete,1000,100,[-1.  -0.5  0.   0.5  1. ],,,,"[[ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1.  1.]
 [ 1.  1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1.  1.  1.]]",0.16780462184873948,25.80132794380188,0 days 00:00:25.801328
9,ScalarOnScalarModel,50,[4],CordexDiscrete,1000,100,[-1.  1.],,,,"[[-1. -1.  1. -1.]
 [-1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1.  1.  1.]]",0.10024928774928774,23.939181089401245,0 days 00:00:23.939181
10,ScalarOnScalarModel,50,[4],CordexDiscrete,1000,100,[-1.  0.  1.],,,,"[[ 1.  1.  1.  1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [ 1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1. -1. -1. -1.]
 [ 1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1.  1.]
 [-1.  1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1.  1.  1. -1.]]",0.10024928774928774,31.31975483894348,0 days 00:00:31.319755
11,ScalarOnScalarModel,50,[4],CordexDiscrete,1000,100,[-1.  -0.5  0.   0.5  1. ],,,,"[[-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1.  1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1.  1. -1.]
 [-1.  1.  1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]]",0.10024928774928774,47.32757115364075,0 days 00:00:47.327571
12,ScalarOnScalarModel,60,[4],CordexDiscrete,1000,100,[-1.  1.],,,,"[[ 1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1. -1. -1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1. -1.  1.]]",0.08333333333333333,28.321155071258545,0 days 00:00:28.321155
13,ScalarOnScalarModel,60,[4],CordexDiscrete,1000,100,[-1.  0.  1.],,,,"[[ 1.  1.  1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1.  1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [ 1.  1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1. -1.]]",0.08333333333333333,36.55933713912964,0 days 00:00:36.559337
14,ScalarOnScalarModel,60,[4],CordexDiscrete,1000,100,[-1.  -0.5  0.   0.5  1. ],,,,"[[-1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1. -1. -1.  1.]
 [ 1. -1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1.  1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]]",0.08333333333333333,64.69935917854309,0 days 00:01:04.699359
16,ScalarOnScalarModel,15,[8],CordexDiscrete,1000,100,[-1.  1.],,,,"[[-1.          1.          1.         -1.          1.         -1.
   1.         -1.        ]
 [ 1.          1.         -1.         -1.         -1.         -1.
  -1.         -1.        ]
 [ 1.         -1.          1.         -1.          1.          1.
  -1.          1.        ]
 [ 1.         -1.          1.          1.          1.          1.
   1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.          1.
   1.          1.        ]
 [-1.         -1.         -1.          1.         -1.         -1.
  -1.         -1.        ]
 [ 1.          1.          1.          1.         -1.         -0.30979981
   1.          1.        ]
 [-1.          1.         -1.          1.          1.          1.
  -1.          1.        ]
 [-1.          1.          1.          1.         -1.          1.
  -1.         -1.        ]
 [-1.         -1.          1.          1.          1.         -1.
  -1.          1.        ]
 [ 1.         -1.          1.         -1.         -1.          1.
  -1.         -1.        ]
 [ 1.          1.         -1.         -1.          1.         -1.
  -1.          1.        ]
 [-1.          1.         -1.         -1.          1.          1.
   1.         -1.        ]
 [-1.         -1.          1.         -1.         -1.         -1.
   1.          1.        ]
 [ 1.         -1.         -1.          1.          1.         -1.
   1.         -1.        ]]",0.6370951318253857,15.193317890167236,0 days 00:00:15.193318
17,ScalarOnScalarModel,15,[8],CordexDiscrete,1000,100,[-1.  0.  1.],,,,"[[-1. -1.  1. -1. -1. -1. -1.  1.]
 [ 1.  1. -1. -1. -1.  1. -1.  1.]
 [-1.  1. -1. -1.  1.  1.  1.  1.]
 [-1.  1.  1.  1. -1.  1.  1. -1.]
 [ 1.  1. -1.  1. -1. -1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1.  1.]
 [-1. -1. -1.  1. -1. -1.  0.  1.]
 [ 1. -1. -1. -1.  1. -1.  1. -1.]
 [-1.  1. -1.  1.  1. -1. -1. -1.]
 [-1.  1.  1. -1.  1. -1.  1.  1.]
 [ 1.  1.  1. -1. -1. -1. -1. -1.]
 [ 1. -1.  1.  1. -1. -1.  1. -1.]
 [-1. -1. -1. -1. -1.  1.  1. -1.]
 [ 1. -1. -1.  1.  1.  1. -1. -1.]
 [ 1. -1.  1.  1.  1.  1.  1.  1.]]",0.6390099009900989,19.80036473274231,0 days 00:00:19.800365
18,ScalarOnScalarModel,15,[8],CordexDiscrete,1000,100,[-1.  -0.5  0.   0.5  1. ],,,,"[[-1. -1. -1. -1. -1.  1.  1. -1.]
 [ 1.  1.  1.  1.  1. -1.  1. -1.]
 [-1.  1. -1. -1. -1. -1. -1. -1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [-1.  1.  1. -1.  1.  1.  1.  1.]
 [ 1. -1. -1. -1.  1. -1. -1.  1.]
 [ 1.  1. -1.  1. -1.  1. -1.  1.]
 [-1. -1.  1.  1. -1. -1. -1.  1.]
 [ 1. -1.  1. -1. -1.  1. -1. -1.]
 [-1. -1. -1.  1. -1. -1.  1.  1.]
 [ 1.  1.  1. -1. -1. -1.  1.  1.]
 [-1.  1. -1.  1.  1.  1. -1.  1.]
 [ 1. -1. -1.  1. -1.  1.  1. -1.]
 [-1.  1. -1.  1.  1. -1. -1. -1.]
 [ 1. -1. -1. -1.  1. -1.  1.  1.]]",0.643478260869565,31.287755012512207,0 days 00:00:31.287755
