epochs	refinement	Runs	X type	X degree	X breaks	B type	B degree	B breaks	design	criterion
6000	600	12	bpslines	1	29	bsplines	0	6		
6000	600	12	bpslines	1	29	bsplines	0	7		
6000	600	12	bpslines	1	29	bsplines	0	8		
6000	600	12	bpslines	1	29	bsplines	1	1		
6000	600	12	bpslines	1	29	bsplines	1	2		
6000	600	12	bpslines	1	29	bsplines	1	3		
6000	600	12	bpslines	1	29	bsplines	1	4		
6000	600	12	bpslines	1	29	bsplines	1	5		
6000	600	12	bpslines	1	29	bsplines	1	6		
6000	600	12	bpslines	1	29	bsplines	1	7		
6000	600	12	bpslines	1	29	bsplines	1	8		
6000	600	12	bpslines	1	29	bsplines	2	1		
6000	600	12	bpslines	1	29	bsplines	2	2		
6000	600	12	bpslines	1	29	bsplines	2	3		
6000	600	12	bpslines	1	29	bsplines	2	4		
6000	600	12	bpslines	1	29	bsplines	2	5		
6000	600	12	bpslines	1	29	bsplines	2	6		
6000	600	12	bpslines	1	29	bsplines	2	7		
6000	600	12	bpslines	1	29	bsplines	2	8		
100	10	12	bpslines	2	1	bsplines	0	1		
100	10	12	bpslines	2	1	bsplines	0	2		
100	10	12	bpslines	2	1	bsplines	0	3		
100	10	12	bpslines	2	1	bsplines	1	1		
100	10	12	bpslines	2	1	bsplines	1	2		
100	10	12	bpslines	2	1	bsplines	2	1		
100	10	12	bpslines	2	2	bsplines	0	1		
100	10	12	bpslines	2	2	bsplines	0	2		
100	10	12	bpslines	2	2	bsplines	0	3		
100	10	12	bpslines	2	2	bsplines	0	4		
100	10	12	bpslines	2	2	bsplines	1	1		
100	10	12	bpslines	2	2	bsplines	1	2		
100	10	12	bpslines	2	2	bsplines	1	3		
100	10	12	bpslines	2	2	bsplines	2	1		
100	10	12	bpslines	2	2	bsplines	2	2		
1000	100	12	bpslines	2	3	bsplines	0	1		
1000	100	12	bpslines	2	3	bsplines	0	2		
1000	100	12	bpslines	2	3	bsplines	0	3		
1000	100	12	bpslines	2	3	bsplines	0	4		
1000	100	12	bpslines	2	3	bsplines	0	5		
1000	100	12	bpslines	2	3	bsplines	1	1		
1000	100	12	bpslines	2	3	bsplines	1	2		
1000	100	12	bpslines	2	3	bsplines	1	3		
1000	100	12	bpslines	2	3	bsplines	1	4		
1000	100	12	bpslines	2	3	bsplines	2	1		
1000	100	12	bpslines	2	3	bsplines	2	2		
1000	100	12	bpslines	2	3	bsplines	2	3		
1000	100	12	bpslines	2	5	bsplines	0	1		
1000	100	12	bpslines	2	5	bsplines	0	2		
1000	100	12	bpslines	2	5	bsplines	0	3		
1000	100	12	bpslines	2	5	bsplines	0	4		
1000	100	12	bpslines	2	5	bsplines	0	5		
1000	100	12	bpslines	2	5	bsplines	0	6		
1000	100	12	bpslines	2	5	bsplines	0	7		
1000	100	12	bpslines	2	5	bsplines	1	1		
1000	100	12	bpslines	2	5	bsplines	1	2		
1000	100	12	bpslines	2	5	bsplines	1	3		
1000	100	12	bpslines	2	5	bsplines	1	4		
1000	100	12	bpslines	2	5	bsplines	1	5		
1000	100	12	bpslines	2	5	bsplines	1	6		
1000	100	12	bpslines	2	5	bsplines	2	1		
1000	100	12	bpslines	2	5	bsplines	2	2		
1000	100	12	bpslines	2	5	bsplines	2	3		
1000	100	12	bpslines	2	5	bsplines	2	4		
1000	100	12	bpslines	2	5	bsplines	2	5		
2000	200	12	bpslines	2	9	bsplines	0	1		
2000	200	12	bpslines	2	9	bsplines	0	2		
2000	200	12	bpslines	2	9	bsplines	0	3		
2000	200	12	bpslines	2	9	bsplines	0	4		
2000	200	12	bpslines	2	9	bsplines	0	5		
2000	200	12	bpslines	2	9	bsplines	0	6		
2000	200	12	bpslines	2	9	bsplines	0	7		
2000	200	12	bpslines	2	9	bsplines	0	8		
2000	200	12	bpslines	2	9	bsplines	1	1		
2000	200	12	bpslines	2	9	bsplines	1	2		
2000	200	12	bpslines	2	9	bsplines	1	3		
2000	200	12	bpslines	2	9	bsplines	1	4		
2000	200	12	bpslines	2	9	bsplines	1	5		
2000	200	12	bpslines	2	9	bsplines	1	6		
2000	200	12	bpslines	2	9	bsplines	1	7		
2000	200	12	bpslines	2	9	bsplines	1	8		
2000	200	12	bpslines	2	9	bsplines	2	1		
2000	200	12	bpslines	2	9	bsplines	2	2		
2000	200	12	bpslines	2	9	bsplines	2	3		
2000	200	12	bpslines	2	9	bsplines	2	4		
2000	200	12	bpslines	2	9	bsplines	2	5		
2000	200	12	bpslines	2	9	bsplines	2	6		
2000	200	12	bpslines	2	9	bsplines	2	7		
2000	200	12	bpslines	2	9	bsplines	2	8		
3000	300	12	bpslines	2	15	bsplines	0	1		
3000	300	12	bpslines	2	15	bsplines	0	2		
3000	300	12	bpslines	2	15	bsplines	0	3		
3000	300	12	bpslines	2	15	bsplines	0	4		
3000	300	12	bpslines	2	15	bsplines	0	5		
3000	300	12	bpslines	2	15	bsplines	0	6		
3000	300	12	bpslines	2	15	bsplines	0	7		
3000	300	12	bpslines	2	15	bsplines	0	8		
3000	300	12	bpslines	2	15	bsplines	1	1		
3000	300	12	bpslines	2	15	bsplines	1	2		
3000	300	12	bpslines	2	15	bsplines	1	3		
3000	300	12	bpslines	2	15	bsplines	1	4		
3000	300	12	bpslines	2	15	bsplines	1	5		
3000	300	12	bpslines	2	15	bsplines	1	6		
3000	300	12	bpslines	2	15	bsplines	1	7		
3000	300	12	bpslines	2	15	bsplines	1	8		
3000	300	12	bpslines	2	15	bsplines	2	1		
3000	300	12	bpslines	2	15	bsplines	2	2		
3000	300	12	bpslines	2	15	bsplines	2	3		
3000	300	12	bpslines	2	15	bsplines	2	4		
3000	300	12	bpslines	2	15	bsplines	2	5		
3000	300	12	bpslines	2	15	bsplines	2	6		
3000	300	12	bpslines	2	15	bsplines	2	7		
3000	300	12	bpslines	2	15	bsplines	2	8		
4000	400	12	bpslines	2	19	bsplines	0	1		
4000	400	12	bpslines	2	19	bsplines	0	2		
4000	400	12	bpslines	2	19	bsplines	0	3		
4000	400	12	bpslines	2	19	bsplines	0	4		
4000	400	12	bpslines	2	19	bsplines	0	5		
4000	400	12	bpslines	2	19	bsplines	0	6		
4000	400	12	bpslines	2	19	bsplines	0	7		
4000	400	12	bpslines	2	19	bsplines	0	8		
4000	400	12	bpslines	2	19	bsplines	1	1		
4000	400	12	bpslines	2	19	bsplines	1	2		
4000	400	12	bpslines	2	19	bsplines	1	3		
4000	400	12	bpslines	2	19	bsplines	1	4		
4000	400	12	bpslines	2	19	bsplines	1	5		
4000	400	12	bpslines	2	19	bsplines	1	6		
4000	400	12	bpslines	2	19	bsplines	1	7		
4000	400	12	bpslines	2	19	bsplines	1	8		
4000	400	12	bpslines	2	19	bsplines	2	1		
4000	400	12	bpslines	2	19	bsplines	2	2		
4000	400	12	bpslines	2	19	bsplines	2	3		
4000	400	12	bpslines	2	19	bsplines	2	4		
4000	400	12	bpslines	2	19	bsplines	2	5		
4000	400	12	bpslines	2	19	bsplines	2	6		
4000	400	12	bpslines	2	19	bsplines	2	7		
4000	400	12	bpslines	2	19	bsplines	2	8		
6000	600	12	bpslines	2	29	bsplines	0	1		
6000	600	12	bpslines	2	29	bsplines	0	2		
6000	600	12	bpslines	2	29	bsplines	0	3		
6000	600	12	bpslines	2	29	bsplines	0	4		
6000	600	12	bpslines	2	29	bsplines	0	5		
6000	600	12	bpslines	2	29	bsplines	0	6		
6000	600	12	bpslines	2	29	bsplines	0	7		
6000	600	12	bpslines	2	29	bsplines	0	8		
6000	600	12	bpslines	2	29	bsplines	1	1		
6000	600	12	bpslines	2	29	bsplines	1	2		
6000	600	12	bpslines	2	29	bsplines	1	3		
6000	600	12	bpslines	2	29	bsplines	1	4		
6000	600	12	bpslines	2	29	bsplines	1	5		
6000	600	12	bpslines	2	29	bsplines	1	6		
6000	600	12	bpslines	2	29	bsplines	1	7		
6000	600	12	bpslines	2	29	bsplines	1	8		
6000	600	12	bpslines	2	29	bsplines	2	1		
6000	600	12	bpslines	2	29	bsplines	2	2		
6000	600	12	bpslines	2	29	bsplines	2	3		
6000	600	12	bpslines	2	29	bsplines	2	4		
6000	600	12	bpslines	2	29	bsplines	2	5		
6000	600	12	bpslines	2	29	bsplines	2	6		
6000	600	12	bpslines	2	29	bsplines	2	7		
6000	600	12	bpslines	2	29	bsplines	2	8		